category,keyword,english_equiv,priority,source,notes
core_keywords,2Dプラットフォーマー,2D platformer,1,WebSearch,"横スクロールアクション全般を指す最重要分類語"
core_keywords,HTML5 Canvas,HTML5 Canvas,1,WebSearch/MDN/W3Schools,"ブラウザゲームの描画基盤。requestAnimationFrameと組み合わせて使用"
core_keywords,JavaScript ゲーム開発,JavaScript game development,1,WebSearch/GitHub,"主要開発言語。バニラJS〜フレームワーク活用まで幅広い"
core_keywords,Phaser.js,Phaser.js,1,phaser.io,"最もメジャーなHTML5ゲームフレームワーク。日本語リソースも豊富"
core_keywords,スプライトアニメーション,sprite animation,1,WebSearch,"キャラクター・敵・コインのアニメーション実装に必須"
core_keywords,コリジョン検出,collision detection,1,WebSearch/MDN,"プラットフォーム踏み込み・敵接触判定の核心ロジック"
core_keywords,ゲームループ,game loop,1,WebSearch/W3Schools,"requestAnimationFrame を使うモダンな実装パターン"
core_keywords,タイルマップ,tilemap,1,phaser.io/mapeditor.org,"マリオ的マップ構築に不可欠。Tiled エディタとの連携が定番"
core_keywords,マリオクローン,mario clone,1,GitHub,"超頻出の実装プロジェクト語。reruns/mario など多数"
core_keywords,ピクセルアート,pixel art,1,itch.io/opengameart.org,"マリオ系グラフィックスタイルの基本分類"

related,Arcade Physics,Arcade Physics,1,phaser.io,"Phaser 3 内蔵の軽量物理エンジン。マリオ系に最適"
related,Matter.js,Matter.js,2,brm.io/matter-js,"2D 剛体物理エンジン。Phaser との統合も可能"
related,Planck.js,Planck.js,2,piqnt.com/planck.js,"Box2D の JS 移植版。高精度物理シミュレーション"
related,melonJS,melonJS,2,melonjs.org,"軽量・依存ゼロの HTML5 ゲームエンジン。Tree-shakeable"
related,KaPlay (Kaboom後継),KaPlay,1,github.com/replit/kaboom,"Replit が Kaboom.js 保守終了後のコミュニティ公式フォーク"
related,enchant.js,enchant.js,3,WebSearch,"日本発の2Dゲーム開発フレームワーク（2011年〜）"
related,Pixi.js,Pixi.js,2,WebSearch,"高速2D描画ライブラリ。ゲームエンジンではなくレンダラー"
related,Excalibur.js,Excalibur.js,2,WebSearch,"TypeScript 製ゲームエンジン。型安全な開発"
related,Kontra.js,Kontra.js,3,WebSearch,"超軽量ゲームライブラリ"
related,requestAnimationFrame,requestAnimationFrame,1,MDN,"モダンゲームループの標準API。setInterval は非推奨"
related,WebGL / WebGL2,WebGL,2,WebSearch,"ハードウェアアクセラレーション描画。Phaser/Pixi が自動フォールバック"
related,AABB 衝突判定,AABB collision,1,WebSearch,"矩形衝突判定アルゴリズム。プラットフォーマーの基本"
related,Tiled マップエディタ,Tiled map editor,1,mapeditor.org,"タイルマップ作成の業界標準ツール。JSON/TMX 出力"
related,Aseprite / Piskel,Aseprite / Piskel,2,WebSearch,"ピクセルアート制作ツール"
related,Howler.js,Howler.js,2,howlerjs.com,"Web Audio API ラッパー。クロスブラウザ音声再生"
related,p5.js,p5.js,3,WebSearch,"クリエイティブコーディング。教育用途での利用実績あり"
related,Vite,Vite,1,vitejs.dev,"Phaser 公式テンプレートが Vite 対応。HMR で高速開発"

compound,マリオ風ゲーム 作り方,how to make mario game,1,WebSearch,"チュートリアル需要。YouTube/Qiita 検索ボリューム高"
compound,JavaScript ゲーム開発 入門,javascript game dev tutorial,1,WebSearch,"学習ニーズ。classcentral.com にも動画コース掲載"
compound,Phaser 3 プラットフォーマー チュートリアル,Phaser 3 platformer tutorial,1,gamedevacademy.org,"FW特化学習。Zenva Academy にもコース有"
compound,HTML5 ゲームエンジン 比較,HTML5 game engine comparison,1,logrocket.com,"技術選定ニーズ。2025年版記事が上位"
compound,タイルマップ 衝突判定 JavaScript,tilemap collision detection JS,1,WebSearch,"実装ニーズが高い複合キーワード"
compound,ピクセルアート スプライトシート 無料,free pixel art spritesheet,1,itch.io/craftpix.net,"アセット調達の定番複合語"
compound,2Dゲーム デプロイ Vercel / GitHub Pages,2D game deploy vercel,2,WebSearch,"配信方法。静的ホスティングとの組み合わせ"
compound,ゲーム開発 TypeScript 2026,TypeScript game dev 2026,1,WebSearch,"型安全な開発。Phaser 4 / melonJS で標準化"
compound,Kaboom.js マリオ サイドスクローラー,kaboom.js mario side scroller,2,copyprogramming.com,"KaPlay移行後も検索ボリューム維持"
compound,Tiled JSON Phaser 読み込み,Tiled JSON Phaser import,2,phaser.io,"マップ設計の実装詳細。上級者向け複合語"
compound,バニラJS ゲームエンジン 自作,vanilla JS custom game engine,2,GitHub,"フレームワーク不使用の自作エンジン実装。教育目的に最適"

rising_2026,KaPlay (Kaboom フォーク),KaPlay,1,github.com/replit/kaboom,"Kaboom.js の公式後継。2025-2026 にかけてコミュニティ移行が加速。GitHubスター増加中"
rising_2026,Defold v1.12.2,Defold,2,defold.com,"2026年3月2日リリース。Hill Climb Racing の Poki 移植で注目。HTML5エクスポート強化"
rising_2026,AI アシスト ゲーム開発,AI-assisted game dev,1,WebSearch/intelligence-research,"Claude/GPT-4 を使ったゲームコード生成が急増。Sam Altman も開発者へ謝辞投稿"
rising_2026,WebGPU ゲームレンダリング,WebGPU game rendering,2,MDN/WebSearch,"Chrome 113+ 対応。Phaser 4 が WebGPU レンダラー統合予定"
rising_2026,Vite + Phaser テンプレート,Vite Phaser template,1,vitejs.dev/phaser.io,"Phaser 公式 Vite テンプレートが 2025年標準化。npm DL 急増"
rising_2026,TypeScript ゲーム開発,TypeScript game dev,1,WebSearch,"melonJS・Phaser 4 系で TypeScript 対応が標準化。型安全な開発需要増"
rising_2026,Poki プラットフォーム,Poki platform,2,defold.com,"ブラウザゲームの配信プラットフォームとして急成長。Defold 公式対応"
rising_2026,ECS アーキテクチャ,Entity Component System,2,WebSearch,"モダンゲーム設計パターン。大規模ゲーム開発での採用増"

niche,1.7KB マリオ実装,tiny mario 1.7KB,3,hatenablog.com,"超軽量実装デモ。教育・技術デモ用途に特化したニッチ。競合ほぼゼロ"
niche,プロシージャルマリオレベル生成,procedural mario level generation,2,GitHub/WebSearch,"ランダム生成レベルで無限プレイ。差別化ポイント。pablogozalvez実装例あり"
niche,マリオメーカー風 レベルエディタ Web,mario maker web level editor,2,WebSearch,"ユーザー生成コンテンツ型。競合少ない切り口"
niche,PWA ゲーム オフライン対応,PWA game offline,2,WebSearch,"Service Worker + PWA でオフラインプレイ可能。差別化要素"
niche,Web Worker ゲーム物理演算,Web Worker game physics,3,MDN,"マルチスレッド物理演算。パフォーマンス最適化のニッチ実装"
niche,enchant.js 日本語チュートリアル,enchant.js Japanese tutorial,3,WebSearch,"日本発エンジンで日本語リソースが手薄。競合少ない"
niche,Matter.js マリオ カスタム物理,mario Matter.js custom physics,2,WebSearch,"Arcade Physics 非使用の本格物理実装。上級者向けニッチ"
niche,js-dos マリオ エミュレーター,js-dos mario emulator,3,js-dos.com,"DOSエミュレータで旧作マリオをブラウザ動作。技術デモ切り口"

tech_stack_candidates,言語: TypeScript,TypeScript,1,WebSearch/melonJS docs,"型安全性確保。Phaser 4 / melonJS で標準サポート"
tech_stack_candidates,フレームワーク: Phaser 3,Phaser 3,1,phaser.io,"最多チュートリアル・プラグイン・コミュニティ。第一候補"
tech_stack_candidates,フレームワーク: KaPlay (Kaboom後継),KaPlay,2,github.com,"Replit 公式サポート終了後のコミュニティ推奨フォーク"
tech_stack_candidates,フレームワーク: melonJS,melonJS,2,melonjs.org,"依存ゼロ・tree-shakeable。軽量な選択肢"
tech_stack_candidates,フレームワーク: バニラJS + Canvas,Vanilla JS + Canvas,1,WebSearch,"フレームワーク非依存。セミナー教材向け最適解"
tech_stack_candidates,物理エンジン: Arcade Physics,Arcade Physics,1,phaser.io,"最も手軽。マリオ系に十分な精度。Phaser 内蔵"
tech_stack_candidates,物理エンジン: Matter.js,Matter.js,2,brm.io/matter-js,"より本格的な剛体物理が必要な場合"
tech_stack_candidates,マップ作成: Tiled + JSON,Tiled + JSON,1,mapeditor.org,"業界標準。Phaser / melonJS 両対応"
tech_stack_candidates,アセット: itch.io / OpenGameArt,itch.io / OpenGameArt,1,itch.io/opengameart.org,"CC0/無料スプライト・タイルセットの主要調達先。craftpix.net も有"
tech_stack_candidates,ビルドツール: Vite,Vite,1,vitejs.dev,"Phaser 公式テンプレートが Vite 対応。HMR で高速開発"
tech_stack_candidates,ホスティング: GitHub Pages / Vercel,GitHub Pages / Vercel,1,WebSearch,"無料静的ホスティング。ブラウザゲームの標準デプロイ先"
tech_stack_candidates,音声: Howler.js,Howler.js,2,howlerjs.com,"Web Audio API ラッパー。クロスブラウザ音声再生"
tech_stack_candidates,セーブデータ: localStorage,localStorage,2,WebSearch,"ブラウザ内セーブ。IndexedDB も選択肢"

mcp_skills_needed,WebSearch MCP,WebSearch MCP,1,本調査,"ゲームエンジン最新情報・チュートリアル収集に使用済み"
mcp_skills_needed,Playwright MCP,Playwright MCP,1,本調査,"ブラウザ上でゲーム動作テスト・スクリーンショット取得に活用可"
mcp_skills_needed,intelligence-research スキル,intelligence-research skill,1,CLAUDE.md,"GIS 31ソース並列収集でゲーム開発トレンドを自動モニタリング。本調査で使用"
mcp_skills_needed,url-deep-analysis スキル,url-deep-analysis skill,2,CLAUDE.md,"phaser.io / kaboomjs.com 等の公式ドキュメント詳細解析"
mcp_skills_needed,pexels MCP,pexels MCP,2,本調査,"ゲームバナー・サムネイル画像のフリー素材収集"
mcp_skills_needed,mcp-image MCP,mcp-image MCP,2,本調査,"ゲーム画面のモックアップ・ピクセルアート生成"
mcp_skills_needed,code-reviewer エージェント,code-reviewer agent,1,agents.md,"実装したゲームコードのセキュリティ・品質レビュー"
mcp_skills_needed,tdd-guide エージェント,tdd-guide agent,1,agents.md,"ゲームロジック（物理演算・コリジョン）のテスト駆動実装"
mcp_skills_needed,planner エージェント,planner agent,1,agents.md,"マリオゲーム実装計画の段階的タスク分解"
mcp_skills_needed,frontend-developer スキル,frontend-developer skill,1,agents.md,"UI/UX実装・Canvas描画の専門スキル"
mcp_skills_needed,typescript-expert スキル,typescript-expert skill,2,agents.md,"TypeScript型定義・ゲームエンティティの型安全実装"
mcp_skills_needed,github-actions-templates スキル,github-actions-templates skill,2,agents.md,"CI/CD パイプライン構築。Vite ビルド + GitHub Pages デプロイ自動化"
