keyword,genre,sub_genre,trend_score,buying_intent,competition,kindle_fit,longtail_type,notes
Claude Code 完全入門,AI/ビジネス,AI開発,98,0.90,低,◎,複合,競合ゼロ・GitHub急上昇claudian連動
龍神占術 2026 大全,スピリチュアル,占術,96,0.88,低,◎,複合,2026年限定・Love Me Do効果
AIエージェント×SNS 自動化副業 完全版,AI/ビジネス,副業×SNS,96,0.95,極低,◎,ロングテール,クロスジャンル最高スコア
2026年龍神大運期 守護龍占術完全版,スピリチュアル,占術,95,0.88,低,◎,ロングテール,タイムリー
AIエージェント 副業 自動化,AI/ビジネス,副業,94,0.95,極低,◎,複合,購買意図最高
Vibe Coding 入門,AI/ビジネス,AI開発,91,0.80,極低,◎,質問,完全ブルーオーシャン
新NISA 配当金生活 完全版,資産形成,投資,91,0.92,中,◎,複合,2年目需要継続
ツインレイ 数秘術 2026,スピリチュアル,占術,89,0.85,低,◎,複合,2026年サイクル
イラン紛争時代 資産防衛投資,資産形成,投資,89,0.82,極低,◎,ロングテール,タイムリー地政学
MCP ツール 自作 Claude連携,AI/ビジネス,AI開発,88,0.78,極低,◎,ロングテール,先行者利益大
X(Twitter) AI活用 フォロワー1万人,SNS系,X,88,0.86,低,◎,複合,AI×SNS掛け合わせ
年間240万円 配当金 達成法,資産形成,投資,86,0.90,低,◎,ロングテール,具体数値タイトル
YouTube AI自動化 チャンネル運営,SNS系,YouTube,86,0.84,低,◎,複合,AI自動化需要
スターシード 覚醒 完全ガイド,スピリチュアル,スピリチュアル,85,0.81,低,◎,複合,各種シグナル増加
WEBデザイン AI活用 副業,AI/ビジネス,副業,85,0.87,低,◎,複合,SNS副業×AI
エンパス ライトワーカー 完全入門,スピリチュアル,スピリチュアル,83,0.78,低,◎,複合,HSP関連需要
Instagram リール爆伸び 2026,SNS系,Instagram,84,0.83,低,◎,複合,2026年アルゴリズム更新
エネルギー株 原油 投資 2026,資産形成,株式,82,0.82,低,○,複合,イラン紛争連動
TikTok バズる 完全版 2026,SNS系,TikTok,82,0.83,中,○,複合,継続需要
NotebookLM 完全攻略,AI/ビジネス,AI活用,80,0.78,中,○,複合,Google製品需要
Claude Code で業務を10倍速にする完全入門ガイド,AI/ビジネス,AI開発,98,0.90,低,◎,ロングテール,最優先出版推奨
AIエージェントで副業を自動化する月収100万円の実践術,AI/ビジネス,副業,94,0.95,極低,◎,ロングテール,購買意図最高
Vibe Coding革命 AIと対話してアプリを作る新しいプログラミング,AI/ビジネス,AI開発,91,0.80,極低,◎,ロングテール,ブルーオーシャン
MCP サーバー 自作ガイド Claude連携で仕事を自動化,AI/ビジネス,AI開発,88,0.78,極低,◎,ロングテール,先行者
生成AI 副業完全マニュアル 2026年版 ゼロから月20万稼ぐ,AI/ビジネス,副業,85,0.87,低,◎,ロングテール,
n8n 自動化入門 AIエージェントでビジネスを全自動化する,AI/ビジネス,自動化,84,0.82,極低,◎,ロングテール,ニッチ
2026年 龍神が導く運命の年 守護龍占術大全 愛・仕事・金運の全て,スピリチュアル,占術,96,0.88,低,◎,ロングテール,最優先
ツインレイと数秘術 2026年新9年サイクルで結ばれる魂の縁の読み方,スピリチュアル,占術,89,0.85,低,◎,ロングテール,
スターシード覚醒の完全ガイド 光の使命に目覚めるためのサイン100,スピリチュアル,スピリチュアル,85,0.81,低,◎,ロングテール,
エンパス・ライトワーカーとして生きる HSPが才能に変わる完全入門,スピリチュアル,スピリチュアル,83,0.78,低,◎,ロングテール,
龍神カードリーディング 完全マスター 日本の神龍との繋がり方,スピリチュアル,占術,81,0.79,低,○,ロングテール,
アカシックレコード入門 魂の記録を読んで人生を好転させる方法,スピリチュアル,スピリチュアル,79,0.76,中,○,ロングテール,
ハイヤーセルフ対話術 高次元存在と繋がる瞑想と直感の磨き方,スピリチュアル,スピリチュアル,77,0.74,中,○,ロングテール,
数秘術 2026年版 1の年が告げる人生リセットと新しい扉の開き方,スピリチュアル,数秘術,75,0.72,中,△,ロングテール,
新NISA 年間240万円の配当金で生活する完全ガイド 2026年最新版,資産形成,投資,91,0.92,中,◎,ロングテール,
イラン紛争と原油高 激動の2026年を乗り切る資産防衛投資術,資産形成,投資,89,0.82,極低,◎,ロングテール,タイムリー
オルカン積立で1億円 新NISA20年シミュレーション完全版,資産形成,投資,84,0.88,中,○,ロングテール,
エネルギー株 2026 原油高騰で勝つ銘柄選びの教科書,資産形成,株式,82,0.82,低,○,ロングテール,
GLP-1バイオテク株で10倍を狙う 米国医薬品投資入門,資産形成,株式,76,0.78,極低,○,ロングテール,ニッチ
Warren Buffett引退後 バークシャーと後継者投資戦略,資産形成,投資,79,0.75,低,○,ロングテール,タイムリー
X(旧Twitter) AIで毎日自動投稿 フォロワー1万人戦略,SNS系,X,88,0.86,低,◎,ロングテール,
YouTube チャンネル AI活用 0から1万登録者 完全ロードマップ,SNS系,YouTube,86,0.84,低,◎,ロングテール,
TikTok バズる動画の法則 2026年最新アルゴリズム攻略,SNS系,TikTok,82,0.83,中,○,ロングテール,
Instagram リール 爆伸びする撮り方・編集・投稿時間の全て,SNS系,Instagram,84,0.83,低,◎,ロングテール,
ショート動画マネタイズ 複数SNS同時運用で月30万稼ぐ,SNS系,複合,80,0.85,低,○,ロングテール,
SNS運用代行 副業 AI活用で月20万稼ぐ起業入門,SNS系,副業,77,0.84,中,△,ロングテール,
Canva AI SNSデザイン自動化 毎日のバナーを30分で作る,SNS系,ツール,74,0.76,低,△,ロングテール,
ChatGPT プロンプト 最新 2026,AI/ビジネス,AI活用,82,0.78,高,△,複合,競合多
AI画像生成 商用 完全ガイド,AI/ビジネス,AI活用,72,0.74,中,△,複合,
Gemini 活用 ビジネス,AI/ビジネス,AI活用,74,0.72,中,△,複合,
AIを使ってKindle本を書く 出版から月収まで完全攻略,AI/ビジネス,副業,80,0.88,低,○,ロングテール,メタKindle本
Cursor IDE AI プログラミング,AI/ビジネス,AI開発,76,0.75,低,○,複合,
生成AI活用 転職必須スキル完全ガイド,AI/ビジネス,キャリア,78,0.83,低,○,ロングテール,
AI×副業 自動化で月100万円稼ぐ仕組みの作り方,AI/ビジネス,副業,94,0.95,極低,◎,掛け合わせ,
新NISA×高配当株 ほったらかし年収アップ 配当再投資の教科書,資産形成,投資,84,0.88,中,○,掛け合わせ,
守護龍ガイド 自分の龍神タイプを知り人生を好転させる365の言葉,スピリチュアル,占術,73,0.75,低,△,ロングテール,
2026年 数秘9年サイクル完成 手放しの年に豊かさを引き寄せる法則,スピリチュアル,数秘術,75,0.72,中,△,ロングテール,
NVIDIA GTC 2026 AIチップ最新動向と投資戦略,AI/ビジネス,投資,78,0.78,極低,○,ロングテール,タイムリー
Obsidian×AI 第二の脳を作る究極の情報管理術,AI/ビジネス,ツール,77,0.76,低,○,ロングテール,claudian連動
Claude API 実践ガイド カスタムAIアプリを作る,AI/ビジネス,AI開発,87,0.78,低,○,ロングテール,
生成AI オンプレLLM 企業導入 完全ガイド,AI/ビジネス,企業向け,78,0.82,低,○,ロングテール,ITmedia連動
